"regions","mass murder","intentional homicides","homicides for theft or robbery","homicides of mafia","terrorist homicides","attempted homicides","infanticides","manslaughter","unintentional homicides","homicides from road accident","blows","culpable injuries","menaces","kidnappings","offences","rapes","sexual activity with a minor","corruption of a minor","exploitation and abetting prostitution","child pornography and possession of paedo-pornographic materials","thefts","bag-snatching","pickpocketing","burglary","shoplifting","theft from vehicle","theft of art objets","theft of cargo trucks carrying freights","moped theft","motorcycle theft","car theft","robberies","house robbery","bank robbery","post office robbery","shop robbery","street robbery","extortions","swindles and cyber frauds","cybercrime","counteractions of goods and industrial products","intellectual property violations","receiving stolen goods","money laundering","usury","damages","arson","forest arson","damage followed by arson","trafficking and drugs possession","attacks","criminal association","mafia criminal association","smuggling","other crimes"
"Molise",0,0.012187690432663,0,0,0,0.048750761730652,0,0,0.109689213893967,0.060938452163315,0.76782449725777,3.41255332114564,4.38756855575868,0.060938452163315,1.25533211456429,0.304692260816575,0.012187690432663,0.024375380865326,0.073126142595978,0.012187690432663,42.315661182206,0.329067641681901,1.99878123095673,7.02010968921389,3.10786106032907,4.31444241316271,0.073126142595978,0.036563071297989,0.60938452163315,0.329067641681901,5.6672760511883,0.524070688604509,0.073126142595978,0.036563071297989,0.048750761730652,0.073126142595978,0.170627666057282,0.731261425959781,11.0054844606947,1.06032906764168,0.414381474710542,0.048750761730652,0.816575258988422,0,0.036563071297989,9.66483851310177,0.743449116392444,0.402193784277879,0.268129189518586,1.47471054235222,0.024375380865326,0.060938452163315,0,0,20.3290676416819
"Piemonte",0.001443105563172,0.012506914880824,0.000962070375448,0,0,0.027419005700267,0.003368818218569,0.006737636437138,0.050989729898742,0.034634533516127,0.525290424994588,2.246434326671,2.72939365514587,0.038482815017919,0.517112826803281,0.132284676624095,0.012987950068548,0.001924140750896,0.050027659523294,0.017798301945787,51.7680448324795,0.759554561416168,9.21567212641605,9.89729898742093,3.91562642807321,7.96401856795825,0.015393126007168,0.037520744642471,0.196743391779109,0.333357385092719,3.21379608918392,1.1713206821079,0.10871395242562,0.020203477884407,0.0120258796931,0.184717512086009,0.653726820116892,0.310748731269692,6.08701926545927,0.411285085504005,0.125550183995959,0.005291387064964,0.734540731654521,0.048103518772398,0.010101738942204,17.14890444236,0.160184717512086,0.058686292902326,0.194819251028213,1.15592755610073,0.010101738942204,0.016355196382615,0.000481035187724,0.001924140750896,14.2790485123987
"Puglia",0,0.025446314971808,0.001339279735358,0.004017839206075,0,0.068303266503275,0.003985810514568,0.011957431543705,0.082365703724537,0.053571189414333,0.526336935995821,2.92699586162562,3.84708103981679,0.060267588091125,1.1377181351869,0.141963651947982,0.022767755501092,0.002678559470717,0.027455234574846,0.009374958147508,53.6990906290597,0.855799750893969,2.21516868228267,7.48523444091767,2.48972102803112,5.39260985442029,0.014732077088942,0.072990745577029,0.561827848982817,0.996424123106593,11.6303052218517,1.40289552278784,0.109820938299383,0.020758835898054,0.014732077088942,0.350891290663881,0.527006575863501,0.501560260891692,5.29551207360681,0.241070352364498,0.583925964616229,0.076338944915425,1.13704849531922,0.102454899754912,0.018749916295017,8.0597854473864,0.675666626488275,0.18348132374409,0.933477975544752,1.53347529698528,0.020758835898054,0.030133794045562,0.002678559470717,0.003348199338396,16.8005946402025
"Sardegna",0.002106815548299,0.031602233224481,0,0,0,0.075845359738755,0,0.020981955518254,0.08427262193195,0.06741809754556,0.851153481512693,3.15179606025492,5.34077741493732,0.046349942062573,1.04287369640788,0.204361108184978,0.025281786579585,0.008427262193195,0.031602233224481,0.03370904877278,39.9557568734857,0.292847361213526,1.35678921310439,5.76846097124197,3.30770041082903,4.96787106288844,0.010534077741494,0.021068155482988,0.549878858105973,0.737385441904561,2.50711050247551,0.745812704097756,0.107447592963236,0.004213631096598,0.004213631096598,0.153797535025808,0.322342778889708,0.499315284946803,8.01643316127673,0.322342778889708,0.275992836827136,0.037922679869378,1.14400084272622,0.054777204255767,0,14.3200252817866,0.271779205730538,0.018961339934689,1.35889602865269,1.97408616875593,0.01685452438639,0.008427262193195,0,0,20.0821658063836
"Sicilia",0.000567157068479,0.022119125670663,0.001701471205436,0,0,0.079969146655475,0,0.006004202942059,0.074864733039168,0.035730895314148,0.62330561825792,3.04109620118196,4.2928118513141,0.078267675450039,0.871153257183044,0.151430937283771,0.019850497396749,0.0079401989587,0.049342664957633,0.021551968602185,51.6714118808063,0.921063079209156,2.58056466157738,7.89652786442677,2.36220919021314,4.76922378883608,0.020984811533706,0.059551492190247,1.53132408489207,2.73369707006658,7.34751982213954,1.55457752469969,0.14405789539355,0.053312764436983,0.028357853423927,0.289250104924058,0.681155639242732,0.4440839846187,5.78330062727572,0.365816309168661,0.328951099717556,0.154833879694643,1.04640479134291,0.066924534080468,0.011343141369571,7.25223743463515,0.340861398155605,0.037432366519584,1.07703127304076,1.59200989121927,0.008507356027178,0.041402465998934,0.011343141369571,0.021551968602185,18.8920019510203
"Toscana",0.000567388763433,0.013049941558957,0.001134777526866,0,0,0.03290854827911,0,0.010490977759127,0.434052404026191,0.045958489838067,0.493060835423215,2.35409597948322,2.32232220873098,0.032341159515677,0.434052404026191,0.153194966126891,0.018723829193287,0.003404332580598,0.040851990967171,0.022695550537317,56.3592932605563,0.640581913915777,7.62683975806543,9.90263608819491,4.60265764896792,8.15961780692895,0.032341159515677,0.020993384247018,0.80398987778446,0.80398987778446,1.16598390885467,0.938461014718065,0.097023478547031,0.032341159515677,0.010780386505226,0.022128161773884,0.482847837681423,0.334759370425428,5.43104524358,0.581573482518752,0.227522894136604,0.010780386505226,1.01165416520091,0.174188350373909,0.006241276397762,10.6805260828615,0.310929042361245,0.195181734620928,0.130499415589574,1.5489713241719,0.011915164032092,0.030638993225378,0,0.002836943817165,16.225049079128
"Trentino Aldo Adige",0,0,0,0,0,0.042884273724193,0,0,0.073515897812902,0.06738957299516,0.637137781045151,2.86099368988544,2.65882497089996,0.055136923359677,0.330821540158059,0.269558291980641,0.030631624088709,0.030631624088709,0.030631624088709,0.018378974453226,50.2052318813944,0.202168718985481,3.6022789928322,9.44679286895791,3.95760583226123,8.01935918642406,0.006126324817742,0.012252649635484,0.189916069349997,0.128652821172579,0.477853335783863,0.820927525577406,0.049010598541935,0.012252649635484,0,0.128652821172579,0.502358635054831,0.361453164246768,6.99626294186118,0.441095386877412,0.042884273724193,0.024505299270967,0.827053850395148,0.110273846719353,0,8.26441217913374,0.281810941616124,0.079642222630644,0.208295043803222,1.67861300006126,0.049010598541935,0.13477914599032,0,0,22.5142437052012
"Umbria",0.003321376378371,0.013285505513485,0,0,0,0.039856516540454,0,0,0.046499269297197,0.02657101102697,0.753952437890262,3.0556662681015,3.54390859572207,0.05646339843231,0.993091537132988,0.146140560648333,0.013285505513485,0.006642752756742,0.036535140162083,0.029892387405341,47.5621097382755,0.481599574863824,5.04849209512422,10.23648199814,3.84283246977547,7.69562906868606,0.053142022053939,0.063106151189053,0.461671316593596,0.212568088215757,1.25880164740268,0.77720207253886,0.08303440945928,0.016606881891856,0.006642752756742,0.126212302378105,0.355387272485718,0.564633984323103,6.73575129533679,0.763916567025375,0.099641291351136,0.019928258270227,0.846950976484655,0.003321376378371,0.013285505513485,11.7144944865152,0.185997077188787,0.049820645675568,0.149461937026704,1.65072406005049,0.003321376378371,0.036535140162083,0.003321376378371,0,20.1308622293078
"Valle d'Aosta",0,0,0,0,0,0.0734394124847,0,0,0.1468788249694,0.0734394124847,0.930232558139535,3.59853121175031,3.62301101591187,0,0.465116279069767,0.1468788249694,0,0,0.024479804161567,0.024479804161567,39.8776009791922,0.1468788249694,2.00734394124847,8.27417380660955,3.32925336597307,4.01468788249694,0,0,0.171358629130967,0.171358629130967,0.758873929008568,0.465116279069767,0.024479804161567,0,0,0.122399020807834,0.195838433292534,0.465116279069767,9.47368421052632,1.93390452876377,0.097919216646267,0,0.807833537331701,0.048959608323134,0.024479804161567,10.7221542227662,0.097919216646267,0.024479804161567,0.2203182374541,1.15055079559364,0.024479804161567,0,0,0,25.5569155446756
"Veneto",0,0.015294207612986,0.001176477508691,0,0,0.025882505191207,0,0,0.086471096888805,0.075882799310584,0.611180065765093,2.50001470596886,2.56413273019253,0.026470743945553,0.467061570950417,0.151177359866823,0.019411878893405,0.004705910034765,0.029411937717281,0.025294266436861,56.6050388531697,0.308237107277102,6.79945176148095,11.1330066647451,4.61120359531527,7.97181159889176,0.020588356402097,0.032353131489009,0.260589768175107,0.177648103812375,1.19000700004118,0.732945487914635,0.084706380625768,0.017647162630369,0.001176477508691,0.140589062288602,0.338825522503074,0.274119259525056,6.17415396561156,0.382355190324649,0.256472096894688,0.004117671280419,0.767651574421026,0.06176506920629,0.023529550173825,9.88005811798893,0.136471391008182,0.013529491349949,0.136471391008182,1.35118441873187,0.008235342560839,0.018235401384714,0.000588238754346,0.000588238754346,16.6595097618221
