Subject;Name of the Institution;Province
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/20307;Museo archeologico nazionale di Palestrina e Santuario della Fortuna Primigenia;Roma
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/20307;Museo archeologico nazionale di Palestrina e Santuario della Fortuna Primigenia;Roma
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/20743;Abbazia greca di San Nilo;Roma
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/129012;Chiesa di Santa Maria del Carmine;Firenze
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/133232;Museo Laboratorio della Civiltà  Contadina;Matera
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/135125;Istituto Centrale per il Restauro e la Conservazione del Patrimonio Archivistico e Librario;Roma
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/134669;Necropoli ellenistica ex Caserma Villarey;Ancona
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/134751;Museo della Cartapesta;Lecce
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/134871;Parco archeologico di Collepasso;Taranto
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/134815;Fondazione Carnevale di Viareggio;Lucca
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/134443;Abbazia di Sassovivo;Perugia
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/134443;Abbazia di Sassovivo;Perugia
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/140954;Ex Chiesa Santa Maria dell'Immacolata Concezione;Viterbo
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/108198;Museo di Palazzo Grimani;Venezia
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/108198;Museo di Palazzo Grimani;Venezia
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/135477;Lapidario Dianense del Museo Diocesano di Teggiano;Salerno
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/144346;MUST - Museo Universitario di Scienze della Terra;Roma
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/137568;Palazzo della Cultura;Catania
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/139239;Parco archeologico Colosseo - Museo Palatino;Roma
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/139374;Parco archeologico del Colosseo - Criptoportico neroniano;Roma
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/139242;Parco archeologico del Colosseo - Tempio di Romolo;Roma
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/141891;Palazzo Economo;Trieste
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/141887;Museo di paesaggi e narrazioni (SMO - Slovensko multimedialno okno);Udine
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/104454;Palazzo Roverella;Rovigo
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/102539;Museo dei Cavatappi;Cuneo
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/102539;Museo dei Cavatappi;Cuneo
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/131147;Mini Mu;Trieste
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/131147;Mini Mu;Trieste
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/131148;Museo beethoveniano di Casa Carrino;Trieste
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/131148;Museo beethoveniano di Casa Carrino;Trieste
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/131149;"Museo della Comunità  Greco Orientale di Trieste ""Costantino e Mafalda Pisani""";Trieste
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/132841;Museo archeologico nazionale di Cividale del Friuli;Udine
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/132851;Museo Federico II - Stupor Mundi;Ancona
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/136847;Palazzo dei Diamanti;Ferrara
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/143832;Archivio di Stato di Ravenna;Ravenna
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/129866;Area archeologica di Quarto d'Altino;Venezia
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/131379;Museo Sà²n de Lenga di Espaci Occitan;Cuneo
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/131573;Casale fortificato di Balsignano;Bari
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/131552;Castello di Calenzano;Firenze
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/131559;MuSA - Museo virtuale della scultura e dell'architettura di Pietrasanta;Lucca
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/138297;Palazzo Vivarelli Colonna;Pistoia
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/138297;Palazzo Vivarelli Colonna;Pistoia
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/133630;Parco Paleontologico Astigiano;Asti
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/133762;Museo delle Civiltà ;Roma
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/133762;Museo delle Civiltà ;Roma
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/133762;Museo delle Civiltà ;Roma
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/133762;Museo delle Civiltà ;Roma
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/133762;Museo delle Civiltà ;Roma
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/133762;Museo delle Civiltà ;Roma
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/133762;Museo delle Civiltà ;Roma
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/133762;Museo delle Civiltà ;Roma
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/133762;Museo delle Civiltà ;Roma
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/133762;Museo delle Civiltà ;Roma
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/133762;Museo delle Civiltà ;Roma
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/133762;Museo delle Civiltà ;Roma
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/133762;Museo delle Civiltà ;Roma
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/133762;Museo delle Civiltà ;Roma
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/133762;Museo delle Civiltà ;Roma
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/133762;Museo delle Civiltà ;Roma
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/133762;Museo delle Civiltà ;Roma
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/133762;Museo delle Civiltà ;Roma
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/133762;Museo delle Civiltà ;Roma
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/133762;Museo delle Civiltà ;Roma
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/133762;Museo delle Civiltà ;Roma
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/133762;Museo delle Civiltà ;Roma
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/133762;Museo delle Civiltà ;Roma
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/133762;Museo delle Civiltà ;Roma
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/133762;Museo delle Civiltà ;Roma
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/133762;Museo delle Civiltà ;Roma
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/133762;Museo delle Civiltà ;Roma
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/133762;Museo delle Civiltà ;Roma
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/133762;Museo delle Civiltà ;Roma
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/133762;Museo delle Civiltà ;Roma
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/133762;Museo delle Civiltà ;Roma
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/133762;Museo delle Civiltà ;Roma
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100000;"Museo civico aufidenate ""Antonio De Nino""";L'Aquila
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100000;"Museo civico aufidenate ""Antonio De Nino""";L'Aquila
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100003;Museo civico etnografico di Castel del Monte;L'Aquila
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100003;Museo civico etnografico di Castel del Monte;L'Aquila
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100005;Museo civico aufidenate;L'Aquila
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100005;Museo civico aufidenate;L'Aquila
